Session Information:,,,,Device Information:,,,
,,,,,,,
Name:,Dist-2000M,,,Name:,Yo1664,,
Start Time:,06/20/15 10:10am,,,Model:,SpeedCoach GPS Pro,,
Type:,Single Distance,,,Serial:,2078089,,
System of Units:,Meters/Split500,,,Firmware Version:,2.05,,
Speed Input:,GPS,,,Profile Version:,0.02,,
,,,,Hardware Version:,Rev 10,,
,,,,LiNK Version:,1.22.07,,
,,,,,,,
Session Summary:,,,,,,,
,,,,,,,
Total Intervals,Total Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,06:52.5,2000.3,01:43.3,4.84,33,---,227
,,,,,,,
Summary for Session Intervals:,,,,,,,
,,,,,,,
Interval,Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,06:52.5,2000.3,01:43.3,4.84,33,---,227
,,,,,,,
Session Detail Data:,,,,,,,
,,,,,,,
Interval,Elapsed Time,GPS Distance,GPS Split,GPS Speed,Stroke Rate,Heart Rate,Stroke Count
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,04:46.6,1387.1,01:48.9,4.59,31,---,157
1,04:48.6,1396.3,01:47.7,4.64,32.5,---,158
1,04:50.4,1404.7,01:48.4,4.61,31,---,159
1,04:52.4,1413.1,01:49.1,4.58,31.5,---,160
1,04:54.2,1422.3,01:46.3,4.7,31,---,161
1,04:56.2,1431.4,01:46.8,4.68,31,---,162
1,04:58.3,1439.7,01:48.9,4.59,31,---,163
1,05:00.0,1448.8,01:47.0,4.67,31.5,---,164
1,05:02.0,1458,01:46.8,4.68,31,---,165
1,05:03.8,1466.4,01:47.5,4.65,31,---,166
1,05:05.8,1475.6,01:47.5,4.65,31,---,167
1,05:07.8,1484.8,01:48.9,4.59,31,---,168
1,05:09.8,1493.9,01:48.9,4.59,30,---,169
1,05:11.6,1502.3,01:49.6,4.56,31,---,170
1,05:13.6,1511.4,01:50.1,4.54,31.5,---,171
1,05:15.6,1520.7,01:47.0,4.67,31,---,172
1,05:17.4,1529.2,01:47.2,4.66,31,---,173
1,05:19.4,1537.8,01:47.0,4.67,31,---,174
1,05:21.2,1547.2,01:43.0,4.85,32.5,---,175
1,05:23.0,1555.8,01:43.9,4.81,31.5,---,176
1,05:25.3,1565.3,01:45.4,4.74,32,---,177
1,05:26.8,1574,01:44.3,4.79,31.5,---,178
1,05:28.8,1583.5,01:45.0,4.76,32,---,179
1,05:30.6,1592.3,01:45.0,4.76,31,---,180
1,05:32.6,1601.6,01:45.9,4.72,31,---,181
1,05:34.5,1610.3,01:46.1,4.71,31.5,---,182
1,05:36.4,1619.7,01:43.9,4.81,32,---,183
1,05:38.2,1628.3,01:45.0,4.76,31,---,184
1,05:40.3,1637.1,01:46.3,4.7,31,---,185
1,05:42.0,1646.5,01:42.8,4.86,31.5,---,186
1,05:43.8,1655.2,01:42.6,4.87,33.5,---,187
1,05:45.6,1663.9,01:44.6,4.78,34,---,188
1,05:47.4,1672.7,01:44.3,4.79,32.5,---,189
1,05:49.4,1681.4,01:43.9,4.81,32.5,---,190
1,05:51.2,1690.8,01:41.6,4.92,32.5,---,191
1,05:53.0,1699.5,01:42.6,4.87,32.5,---,192
1,05:54.8,1708.2,01:44.6,4.78,32.5,---,193
1,05:56.8,1717.8,01:43.7,4.82,32.5,---,194
1,05:58.5,1725.7,01:43.3,4.84,32.5,---,195
1,06:00.4,1735.3,01:42.4,4.88,33.5,---,196
1,06:02.2,1744,01:42.6,4.87,32.5,---,197
1,06:04.3,1752.8,01:42.8,4.86,32.5,---,198
1,06:05.8,1761.7,01:42.0,4.9,33.5,---,199
1,06:07.6,1770.5,01:42.2,4.89,32.5,---,200
1,06:09.4,1779.3,01:41.8,4.91,32.5,---,201
1,06:11.2,1788.2,01:42.4,4.88,33.5,---,202
1,06:13.3,1797,01:41.8,4.91,34,---,203
1,06:14.8,1805.9,01:40.6,4.97,34,---,204
1,06:16.5,1814.1,01:40.6,4.97,33.5,---,205
1,06:18.2,1823,01:39.2,5.04,34,---,206
1,06:20.0,1832,01:40.0,5,35,---,207
1,06:21.8,1841.1,01:40.0,5,34,---,208
1,06:23.4,1849.3,01:39.2,5.04,35.5,---,209
1,06:25.3,1857.6,01:38.8,5.06,35.5,---,210
1,06:26.8,1866.8,01:35.9,5.21,35.5,---,211
1,06:28.5,1875.1,01:35.7,5.22,36,---,212
1,06:30.2,1884.2,01:36.1,5.2,37,---,213
1,06:31.8,1892.4,01:36.7,5.17,35.5,---,214
1,06:33.4,1900.6,01:37.6,5.12,35.5,---,215
1,06:35.0,1908.9,01:38.0,5.1,37.5,---,216
1,06:36.6,1917.1,01:37.4,5.13,37,---,217
1,06:38.2,1925.4,01:37.8,5.11,37.5,---,218
1,06:39.8,1933.7,01:38.6,5.07,39,---,219
1,06:41.4,1942,01:37.2,5.14,37.5,---,220
1,06:43.3,1950.3,01:36.3,5.19,37.5,---,221
1,06:44.6,1958.5,01:36.1,5.2,38.5,---,222
1,06:46.3,1965.9,01:35.9,5.21,37.5,---,223
1,06:47.6,1974.2,01:34.1,5.31,39,---,224
1,06:49.3,1981.6,01:34.1,5.31,39.5,---,225
1,06:50.6,1989.9,01:33.2,5.36,41,---,226
1,06:52.3,1997.4,01:32.2,5.42,39,---,227
1,06:52.6,2000.3,01:32.2,5.42,39,---,227
